source,target,release_date,populairty
Pyotr Ilyich Tchaikovsky,New York Philharmonic,1960,20
Nat Adderley,Wes Montgomery,1960,18
Nat Adderley,Bobby Timmons,1960,18
Nat Adderley,Percy Heath,1960,18
Nat Adderley,Sam Jones,1960,18
Wes Montgomery,Bobby Timmons,1960,18
Wes Montgomery,Percy Heath,1960,18
Wes Montgomery,Sam Jones,1960,18
Bobby Timmons,Percy Heath,1960,18
Bobby Timmons,Sam Jones,1960,18
Percy Heath,Sam Jones,1960,18
Cannonball Adderley,Bill Evans,1961,16
Ludwig van Beethoven,George Szell,1961,15
Ludwig van Beethoven,Leon Fleisher,1961,15
Ludwig van Beethoven,Cleveland Orchestra,1961,15
George Szell,Leon Fleisher,1961,15
Leon Fleisher,Cleveland Orchestra,1961,15
Johann Sebastian Bach,Pierre Fournier,1961,11
Duke Ellington,Count Basie,1961,15
Milt Jackson,Oscar Peterson,1961,19
Wes Montgomery,Hank Jones,1961,14
Wes Montgomery,Ray Barretto,1961,14
Wes Montgomery,Ron Carter,1961,14
Hank Jones,Ray Barretto,1961,14
Hank Jones,Ron Carter,1961,14
Ray Barretto,Ron Carter,1961,14
Hampton Hawes,Harold Land,1961,14
Hampton Hawes,Scott LaFaro,1961,14
Harold Land,Scott LaFaro,1961,14
Camille Saint-Saëns,Eugene Ormandy,1961,10
Camille Saint-Saëns,Philadelphia Orchestra,1961,10
Johannes Brahms,Glenn Gould,1961,17
Philadelphia Orchestra,Eugene Ormandy,1961,10
Camille Saint-Saëns,Philippe Entremont,1961,12
Camille Saint-Saëns,Yo-Yo Ma,1961,12
Philippe Entremont,Yo-Yo Ma,1961,12
La Sonora Matancera,Celio Gonzalez,1961,21
Elvis Presley,The Jordanaires,1962,19
Stan Getz,Charlie Byrd,1962,18
Gil Evans,Hank Mobley,1962,16
Gil Evans,Jimmy Cobb,1962,16
Gil Evans,Miles Davis,1962,16
Gil Evans,Paul Chambers,1962,16
Gil Evans,Wynton Kelly,1962,16
Hank Mobley,Jimmy Cobb,1962,16
Hank Mobley,Miles Davis,1962,16
Hank Mobley,Paul Chambers,1962,16
Hank Mobley,Wynton Kelly,1962,16
Jimmy Cobb,Miles Davis,1962,16
Jimmy Cobb,Paul Chambers,1962,16
Jimmy Cobb,Wynton Kelly,1962,16
Miles Davis,Paul Chambers,1962,16
Miles Davis,Wynton Kelly,1962,16
Paul Chambers,Wynton Kelly,1962,16
Cliff Richard,The Shadows,1962,30
Louis Armstrong,Duke Ellington,1963,22
Lalo Schifrin,Bob Brookmeyer,1963,19
Ben Webster,Joe Zawinul,1963,25
Cal Tjader,Lalo Schifrin,1963,21
George Jones,Melba Montgomery,1963,16
Miles Davis,Gil Evans,1963,21
Kenny Burrell,John Coltrane,1963,20
Ella Fitzgerald,Count Basie,1963,21
Georges Bizet,Maria Callas,1964,30
Charles Mingus,Eric Dolphy,1964,22
Georges Bizet,Nicolai Gedda,1964,30
Dean Martin,Sweet,1964,21
Vince Guaraldi,Bola Sete,1964,17
Them,Van Morrison,1965,24
Miles Davis,Herbie Hancock,1965,23
Bert Jansch,John Renbourn,1966,30
Sergei Rachmaninoff,Earl Wild,1966,29
John Mayall & The Bluesbreakers,Eric Clapton,1966,26
Nikolai Rimsky-Korsakov,Gewandhausorchester Leipzig,1966,24
Hariharan,Sadhana Sargam,1966,24
Frank Zappa,The Mothers Of Invention,1966,24
Giacomo Puccini,Renata Scotto,1966,29
Glenn Gould,Juilliard String Quartet,1967,30
Antonín Dvořák,Itzhak Perlman,1967,25
Antonín Dvořák,Boston Symphony Orchestra,1967,25
Itzhak Perlman,Boston Symphony Orchestra,1967,25
The Velvet Underground,Nico,1967,28
Johann Sebastian Bach,Isaac Stern,1967,26
Johann Sebastian Bach,London Symphony Orchestra,1967,26
Isaac Stern,London Symphony Orchestra,1967,26
Nancy Sinatra,Lee Hazlewood,1968,33
Big Brother & The Holding Company,Janis Joplin,1968,29
Johnny Winter,Edgar Winter,1969,30
Quincy Jones,Matt Monro,1969,38
Tomaso Albinoni,Claudio Scimone,1970,38
Tomaso Albinoni,I Solisti Veneti,1970,38
Tomaso Albinoni,Pierre Pierlot,1970,38
Claudio Scimone,I Solisti Veneti,1970,38
Claudio Scimone,Pierre Pierlot,1970,38
I Solisti Veneti,Pierre Pierlot,1970,38
Django Reinhardt,Stéphane Grappelli,1970,31
Django Reinhardt,Quintette du Hot Club de France,1970,31
Stéphane Grappelli,Quintette du Hot Club de France,1970,31
Paul McCartney,Linda McCartney,1971,32
Mahavishnu Orchestra,John McLaughlin,1971,25
Georges Bizet,Leonard Bernstein,1971,36
Georges Bizet,New York Philharmonic,1971,36
Wolfgang Amadeus Mozart,Jessye Norman,1971,35
Wolfgang Amadeus Mozart,BBC Symphony Orchestra,1971,35
Wolfgang Amadeus Mozart,Sir Colin Davis,1971,35
Jessye Norman,BBC Symphony Orchestra,1971,35
Jessye Norman,Sir Colin Davis,1971,35
BBC Symphony Orchestra,Sir Colin Davis,1971,35
Eric Clapton,Steve Winwood,1971,31
Eric Clapton,Charlie Watts,1971,31
Steve Winwood,Charlie Watts,1971,31
Frank Zappa,The Mothers,1973,33
